HID,M1,M2,HHID,PID,N1,HPID,PIDWON,CH1,CH2_Y,CH2_M,CH2_1,CH3_Y,CH3_M,CH3_1,CH4_Y,CH4_M,CH4_1,CH5_Y,CH5_M,CH6_Y,CH6_M
112075.0,1.0,1.0,112075011.0,4.0,1.0,11207501104.0,11207504.0,0.0,,,,,,,,,,,,,
112076.0,1.0,1.0,112076011.0,1.0,1.0,11207601101.0,11207601.0,0.0,,,,,,,,,,,,,
112077.0,1.0,1.0,112077011.0,1.0,1.0,11207701101.0,11207701.0,0.0,,,,,,,,,,,,,
112077.0,1.0,1.0,112077011.0,2.0,1.0,11207701102.0,11207702.0,0.0,,,,,,,,,,,,,
112078.0,1.0,1.0,112078011.0,1.0,1.0,11207801101.0,11207801.0,0.0,,,,,,,,,,,,,
112078.0,1.0,1.0,112078011.0,2.0,1.0,11207801102.0,11207802.0,0.0,,,,,,,,,,,,,
112079.0,1.0,1.0,112079011.0,1.0,1.0,11207901101.0,11207901.0,0.0,,,,,,,,,,,,,
112080.0,1.0,1.0,112080011.0,1.0,1.0,11208001101.0,11208001.0,0.0,,,,,,,,,,,,,
112080.0,1.0,1.0,112080011.0,2.0,1.0,11208001102.0,11208002.0,0.0,,,,,,,,,,,,,
112080.0,1.0,1.0,112080011.0,3.0,1.0,11208001103.0,11208003.0,0.0,,,,,,,,,,,,,
112080.0,1.0,1.0,112080011.0,4.0,1.0,11208001104.0,11208004.0,0.0,,,,,,,,,,,,,
112080.0,1.0,1.0,112080011.0,5.0,1.0,11208001105.0,11208005.0,0.0,,,,,,,,,,,,,
112081.0,1.0,1.0,112081011.0,1.0,1.0,11208101101.0,11208101.0,0.0,,,,,,,,,,,,,
112081.0,1.0,1.0,112081011.0,2.0,1.0,11208101102.0,11208102.0,0.0,,,,,,,,,,,,,
112083.0,1.0,1.0,112083011.0,1.0,1.0,11208301101.0,11208301.0,0.0,,,,,,,,,,,,,
112083.0,1.0,1.0,112083011.0,2.0,1.0,11208301102.0,11208302.0,0.0,,,,,,,,,,,,,
112083.0,1.0,1.0,112083011.0,3.0,1.0,11208301103.0,11208303.0,0.0,,,,,,,,,,,,,
112084.0,1.0,1.0,112084011.0,1.0,1.0,11208401101.0,11208401.0,0.0,,,,,,,,,,,,,
112085.0,1.0,1.0,112085011.0,1.0,1.0,11208501101.0,11208501.0,0.0,,,,,,,,,,,,,
112085.0,1.0,1.0,112085011.0,3.0,1.0,11208501103.0,11208503.0,0.0,,,,,,,,,,,,,
112086.0,1.0,1.0,112086011.0,1.0,1.0,11208601101.0,11208601.0,0.0,,,,,,,,,,,,,
112087.0,1.0,1.0,112087011.0,1.0,1.0,11208701101.0,11208701.0,0.0,,,,,,,,,,,,,
112087.0,1.0,1.0,112087011.0,2.0,1.0,11208701102.0,11208702.0,0.0,,,,,,,,,,,,,
112088.0,1.0,1.0,112088011.0,2.0,1.0,11208801102.0,11208802.0,0.0,,,,,,,,,,,,,
112088.0,1.0,1.0,112088011.0,4.0,1.0,11208801104.0,11208804.0,0.0,,,,,,,,,,,,,
